epoch,lr-AdamW,step,train_acc,train_loss,val_acc
,0.0001,0,,,
0,,49,,4.5271406173706055,
0,,99,,4.3669843673706055,
0,,149,,4.3280229568481445,
0,,155,,,0.06019999831914902
0,,155,0.03583233058452606,,
,0.0001,156,,,
1,,199,,4.287653923034668,
1,,249,,4.239964008331299,
1,,299,,4.065429210662842,
1,,311,,,0.09359999746084213
1,,311,0.07825019955635071,,
,0.0001,312,,,
2,,349,,4.01030969619751,
2,,399,,4.1200480461120605,
2,,449,,3.9695825576782227,
2,,467,,,0.11420000344514847
2,,467,0.10539363324642181,,
,0.0001,468,,,
3,,499,,3.8937392234802246,
3,,549,,3.878119707107544,
3,,599,,3.8951687812805176,
3,,623,,,0.13259999454021454
3,,623,0.12344751507043839,,
,0.0001,624,,,
4,,649,,3.8347373008728027,
